,phi0,p,m,P[N],xc,yc,small_delta_v,safety_ratio
194,58.8,0.8607420270039435,0.619826741598111,0.6243887087859581,1.8652704090586512,1.54758245534322,1.6272400029937457,1.7382615872168914
195,59.0,0.8616291604415256,0.6190921625896796,0.6272578227692597,1.8608663525631124,1.5516838654537166,1.6347172955537839,1.731588674692214
196,59.2,0.8625136692072574,0.6183616427105096,0.6301397056283455,1.8564495701855228,1.5557742538282955,1.642227865502053,1.724955408698447
197,59.4,0.8633955506067716,0.6176351595136399,0.6330344819005128,1.852020076955277,1.5598535939288127,1.6497720373993103,1.718361368767263
198,59.6,0.8642748019537047,0.6169126907612696,0.6359422773857025,1.8475778878059115,1.5639218593073019,1.6573501390969294,1.7118061398527753
199,59.8,0.8651514205697044,0.6161942144223792,0.6388632191656753,1.8431230175725557,1.5679790236061395,1.6649625017868785,1.7052893122385753
200,60.0,0.8660254037844386,0.6154797086703874,0.6417974356233184,1.8386554809897313,1.5720250605584503,1.672609460052032,1.6988104814467895
201,60.2,0.8668967489356028,0.6147691518808414,0.6447450564624507,1.8341752926887542,1.5760599439882819,1.6802913519177902,1.6923692481487724
202,60.4,0.8677654533689284,0.6140625226291433,0.6477062127279662,1.8296824671951057,1.5800836478108122,1.688008518904572,1.6859652180775366
203,60.6,0.8686315144381912,0.6133597996883063,0.6506810368261876,1.8251770189260867,1.5840961460327025,1.6957613060808614,1.679598001941981
204,60.8,0.869494929505219,0.612660962026747,0.6536696625457186,1.820658962188094,1.5880974127523084,1.7035500621175497,1.6732672153426604
205,61.0,0.8703556959398997,0.6119659888061079,0.6566722250785944,1.816128311173999,1.592087422159899,1.7113751393430583,1.6669724786892521
206,61.2,0.8712138111201894,0.6112748593791113,0.6596888610418007,1.8115850799605075,1.5960661485379557,1.7192368937994187,1.660713417119561
207,61.4,0.8720692724321205,0.6105875532874461,0.66271970849919,1.8070292825054226,1.6000335662613965,1.7271356852993887,1.654489660420085
208,61.6,0.8729220772698097,0.609904050259682,0.6657649069837712,1.802460932644909,1.6039896497978114,1.735071877484544,1.648300842948083
209,61.8,0.8737722230354652,0.6092243302092178,0.6688245975203907,1.7978800440906983,1.607934373707754,1.7430458378843874,1.6421466035551204
210,62.0,0.8746197071393957,0.6085483732322541,0.6718989226488322,1.7932866304272421,1.611867712644956,1.7510579379765494,1.6360265855120446
211,62.2,0.8754645270000178,0.6078761596057998,0.6749880264473443,1.7886807051087807,1.615789641356549,1.7591085532481048,1.62994043643535
212,62.4,0.8763066800438636,0.6072076697857032,0.6780920545565021,1.7840622814565428,1.6197001346833717,1.7671980632577582,1.6238878082149926
213,62.6,0.8771461637055887,0.6065428844047137,0.6812111542036379,1.7794313726556292,1.6235991675601482,1.7753268516995153,1.6178683569434174
214,62.8,0.8779829754279805,0.60588178427057,0.6843454742275673,1.7747879917521243,1.6274867150157732,1.7834953064671217,1.6118817428460421
215,63.0,0.8788171126619653,0.6052243503641139,0.6874951651038654,1.7701321516499766,1.6313627521735554,1.7917038197199355,1.6059276302129095
216,63.2,0.8796485728666165,0.6045705638374331,0.6906603789706218,1.7654638651077839,1.635227254251397,1.7999527879500485,1.6000056873315907
217,63.4,0.880477353509162,0.6039204060120295,0.6938412696545004,1.760783144735859,1.6390801965621191,1.8082426120502015,1.5941155864214598
218,63.6,0.8813034520649922,0.6032738583770111,0.6970379926975,1.7560900029928153,1.6429215545136184,1.8165736973835274,1.5882570035689556
219,63.8,0.8821268660176677,0.6026309025873116,0.7002507053840518,1.751384452182387,1.6467513036091597,1.8249464538541678,1.5824296186641607
220,64.0,0.8829475928589269,0.6019915204619338,0.7034795667686542,1.7466665044501508,1.6505694194476097,1.8333612959792964,1.5766331153384807
221,64.2,0.8837656300886935,0.601355693982218,0.706724737704053,1.7419361717801292,1.6543758777236623,1.841818642962558,1.5708671809034158
222,64.4,0.8845809752150839,0.6007234052901327,0.7099863808699665,1.7371934659912878,1.658170654228018,1.8503189187689308,1.5651315062904188
223,64.6,0.8853936257544158,0.6000946366865909,0.7132646608022574,1.7324383987341603,1.6619537248476723,1.858862552200752,1.5594257859918828
224,64.8,0.8862035792312146,0.5994693706297891,0.7165597439226887,1.7276709814873599,1.6657250655662004,1.867449976975266,1.5537497180031237
225,65.0,0.8870108331782217,0.5988475897335678,0.7198717985693354,1.7228912255538265,1.6694846524638485,1.8760816318038804,1.5481030037653618
226,65.2,0.8878153851364013,0.5982292767657968,0.7232009950274572,1.7180991420572744,1.6732324617178647,1.8847579604726268,1.542485348109718
227,65.4,0.8886172326549487,0.5976144146467806,0.7265475055608953,1.7132947419386462,1.6769684696027787,1.8934794119239806,1.5368964592022987
228,65.6,0.8894163732912974,0.5970029864476858,0.729911504444369,1.7084780359520013,1.6806926524904688,1.902246440341036,1.5313360484899519
229,65.8,0.8902128046111265,0.5963949753889911,0.7332931679960843,1.7036490346608866,1.6844049868504583,1.9110595052324821,1.5258038306472188
230,66.0,0.8910065241883678,0.5957903648389578,0.7366926746110123,1.698807748434543,1.6881054492502414,1.9199190715193364,1.5202995235241485
231,66.2,0.891797529605214,0.5951891383121197,0.7401102047949991,1.6939541874437345,1.6917940163553857,1.928825609623837,1.5148228480948664
232,66.4,0.8925858184521255,0.594591279467795,0.7435459411993682,1.6890883616568295,1.695470664929776,1.9377795955596202,1.509373528407133
233,66.6,0.8933713883278375,0.5939967721086183,0.7470000686562372,1.6842102808357013,1.69913537183586,1.9467815110237625,1.5039512915327322
234,66.8,0.8941542368393681,0.5934056001790905,0.7504727742145195,1.6793199545315924,1.7027881140348984,1.9558318434906055,1.4985558675186836
235,67.0,0.894934361602025,0.5928177477641505,0.75396424717669,1.6744173920808207,1.7064288685871156,1.9649310863075709,1.493186989339233
